ID,Name,Concepticon_ID,Concepticon_Gloss,GBIF_ID,GBIF_NAME,canonicalName,rank,kingdom,kingdomKey,phylum,phylumKey,class_,classKey,order,orderKey,family,familyKey,genus,genusKey
buphagusafricanus,Buphagus africanus,,,2489053,"Buphagus africanus Linnaeus, 1766",Buphagus africanus,SPECIES,Animalia,1,Chordata,44,Aves,212,Passeriformes,729,Buphagidae,6100965,Buphagus,2489051
burhinuscapensis,Burhinus capensis,,,2482097,"Burhinus capensis (Lichtenstein, 1823)",Burhinus capensis,SPECIES,Animalia,1,Chordata,44,Aves,212,Charadriiformes,7192402,Burhinidae,9697,Burhinus,2482094
burhinussenegalensis,Burhinus senegalensis,,,2482099,"Burhinus senegalensis (Swainson, 1837)",Burhinus senegalensis,SPECIES,Animalia,1,Chordata,44,Aves,212,Charadriiformes,7192402,Burhinidae,9697,Burhinus,2482094
buteoauguralis,Buteo auguralis,,,2480568,"Buteo auguralis Salvadori, 1865",Buteo auguralis,SPECIES,Animalia,1,Chordata,44,Aves,212,Accipitriformes,7191147,Accipitridae,2877,Buteo,2480517
cadabafarinosa,Cadaba farinosa,,,3054234,Cadaba farinosa Forssk.,Cadaba farinosa,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Brassicales,7225535,Capparaceae,3111,Cadaba,3054233
cadabaglandulosa,Cadaba glandulosa,,,3872613,Cadaba glandulosa Forssk.,Cadaba glandulosa,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Brassicales,7225535,Capparaceae,3111,Cadaba,3054233
calandrellabrachydactyla,Calandrella brachydactyla,,,2490681,"Calandrella brachydactyla (Leisler, 1814)",Calandrella brachydactyla,SPECIES,Animalia,1,Chordata,44,Aves,212,Passeriformes,729,Alaudidae,7211,Calandrella,2490675
callosobruchusmaculatus,Callosobruchus maculatus,,,1047343,"Callosobruchus maculatus (Fabricius, 1775)",Callosobruchus maculatus,SPECIES,Animalia,1,Arthropoda,54,Insecta,216,Coleoptera,1470,Chrysomelidae,7780,Callosobruchus,1047339
calotropisprocera,Calotropis procera,,,5414566,Calotropis procera (Aiton) W.T.Aiton,Calotropis procera,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Gentianales,412,Apocynaceae,6701,Calotropis,3170557
camponotusmaculatus,Camponotus maculatus,,,1313646,"Camponotus maculatus (Fabricius, 1782)",Camponotus maculatus,SPECIES,Animalia,1,Arthropoda,54,Insecta,216,Hymenoptera,1457,Formicidae,4342,Camponotus,1312361
